Date&Time,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,FACTOR_VEHICLE1,FACTOR_VEHICLE2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/7/15 20:12,MANHATTAN,10007,40.7160417,-74.0104107,"(40.7160417, -74.0104107)",CHAMBERS STREET,GREENWICH STREET,,1,0,1,0,0,0,0,0,Traffic Control Disregarded,Other Vehicular,,,,3198700,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 4:30,BROOKLYN,11208,40.6742563,-73.879883,"(40.6742563, -73.879883)",PITKIN AVENUE,BERRIMAN STREET,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199511,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
4/7/15 15:38,QUEENS,11375,40.71717,-73.834937,"(40.71717, -73.834937)",QUEENS BOULEVARD,76 ROAD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199673,PASSENGER VEHICLE,MOTORCYCLE,,,
4/7/15 20:20,MANHATTAN,10014,40.7287722,-74.0070897,"(40.7287722, -74.0070897)",WEST HOUSTON STREET,HUDSON STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3199257,PASSENGER VEHICLE,UNKNOWN,,,
4/7/15 15:40,MANHATTAN,10033,40.8489388,-73.9370711,"(40.8489388, -73.9370711)",BROADWAY,WEST 179 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3199361,LARGE COM VEH(6 OR MORE TIRES),,,,
4/7/15 18:25,,,,,,CROPSEY AVENUE,SHORE PARKWAY,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3198908,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 15:45,,,40.6847335,-74.0010155,"(40.6847335, -74.0010155)",,,,1,0,0,0,0,0,1,0,Turning Improperly,Traffic Control Disregarded,Traffic Control Disregarded,Unspecified,Unspecified,3199000,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE
4/7/15 13:00,QUEENS,11434,40.6596509,-73.7738282,"(40.6596509, -73.7738282)",ROCKAWAY BOULEVARD,FARMERS BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3199097,PASSENGER VEHICLE,OTHER,,,
4/7/15 0:11,BROOKLYN,11226,40.6523139,-73.9560111,"(40.6523139, -73.9560111)",LINDEN BOULEVARD,BEDFORD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3198931,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
4/7/15 0:25,QUEENS,11101,40.7522294,-73.9391006,"(40.7522294, -73.9391006)",CRESCENT STREET,41 AVENUE,,0,0,0,0,0,0,0,0,Prescription Medication,Prescription Medication,,,,3199186,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
